Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_DOGE,Volume_USD,Volume_in_ADA,Volume_in_XRP,Volume_in_BUSD,Volume_in_ETH,Volume,Volume_in_BTC,Volume_in_MATIC
2022-05-14,Coinbase,DOGE/USD,0.0834,0.0919,0.088,0.0893,221588444.4,19787848.08492,,,,,,,
2022-05-13,Coinbase,DOGE/USD,0.0818,0.0963,0.0824,0.088,568051823.7,49988560.4856,,,,,,,
2022-05-12,Coinbase,DOGE/USD,0.065,0.0896,0.0848,0.0824,1054833258.4,86918260.49215999,,,,,,,
2022-05-11,Coinbase,DOGE/USD,0.0694,0.1108,0.1081,0.085,994807593.5,84558645.4475,,,,,,,
2022-05-10,Coinbase,DOGE/USD,0.0992,0.1183,0.1019,0.1081,568232888.7,61425975.26847,,,,,,,
2022-05-09,Coinbase,DOGE/USD,0.1001,0.1253,0.1241,0.1019,525409592.5,53539237.47575,,,,,,,
2022-05-08,Coinbase,DOGE/USD,0.1226,0.1282,0.1273,0.1241,140807955.4,17474267.26514,,,,,,,
2022-05-07,Coinbase,DOGE/USD,0.1245,0.1323,0.1278,0.1275,178515316.3,22760702.82825,,,,,,,
2022-05-06,Coinbase,DOGE/USD,0.1233,0.1299,0.1282,0.1277,162136074.7,20704776.73919,,,,,,,
2022-05-05,Coinbase,DOGE/USD,0.1252,0.1377,0.1359,0.1282,263667337.6,33802152.68032,,,,,,,
2022-05-04,Coinbase,DOGE/USD,0.1289,0.1363,0.1295,0.136,163335129.4,22213577.598400004,,,,,,,
2022-05-03,Coinbase,DOGE/USD,0.1263,0.132,0.1307,0.1294,103396292.2,13379480.21068,,,,,,,
2022-05-02,Coinbase,DOGE/USD,0.1275,0.134,0.1327,0.1307,146522037.0,19150430.2359,,,,,,,
2022-05-01,Coinbase,DOGE/USD,0.1262,0.1365,0.1275,0.1326,205262494.6,27217806.78396,,,,,,,
2022-04-30,Coinbase,DOGE/USD,0.124,0.1368,0.1349,0.1274,232967033.7,29680000.09338,,,,,,,
2022-04-29,Coinbase,DOGE/USD,0.1331,0.145,0.1375,0.135,385880566.8,52093876.51800001,,,,,,,
2022-04-28,Coinbase,DOGE/USD,0.1353,0.1433,0.14,0.1374,283412236.4,38940841.28135999,,,,,,,
2022-04-27,Coinbase,DOGE/USD,0.1351,0.146,0.1377,0.1401,366511023.8,51348194.43438,,,,,,,
2022-04-26,Coinbase,DOGE/USD,0.1356,0.1667,0.1581,0.1377,1102017282.9,151747779.85533,,,,,,,
2022-04-25,Coinbase,DOGE/USD,0.1226,0.1716,0.1319,0.1581,1368813909.9,216409479.15519,,,,,,,
2022-04-24,Coinbase,DOGE/USD,0.131,0.1348,0.134,0.1319,77658148.6,10243109.80034,,,,,,,
2022-04-23,Coinbase,DOGE/USD,0.1332,0.1368,0.1364,0.134,56742403.4,7603482.055600001,,,,,,,
2022-04-22,Coinbase,DOGE/USD,0.1346,0.1382,0.1364,0.1364,89666778.2,12230548.54648,,,,,,,
2022-04-21,Coinbase,DOGE/USD,0.1341,0.143,0.1407,0.1364,141184860.0,19257614.904,,,,,,,
2022-04-20,Coinbase,DOGE/USD,0.1391,0.1468,0.1426,0.1408,205039527.8,28869565.514240004,,,,,,,
2022-04-19,Coinbase,DOGE/USD,0.1391,0.1446,0.1401,0.1426,140585999.4,20047563.51444,,,,,,,
2022-04-18,Coinbase,DOGE/USD,0.1331,0.1406,0.1393,0.1402,203617324.9,28547148.95098,,,,,,,
2022-04-17,Coinbase,DOGE/USD,0.1384,0.145,0.1436,0.1393,107671672.5,14998663.97925,,,,,,,
2022-04-16,Coinbase,DOGE/USD,0.1414,0.1481,0.1459,0.1436,121765751.5,17485561.915400002,,,,,,,
2022-04-15,Coinbase,DOGE/USD,0.1418,0.1497,0.1442,0.1459,231946320.4,33840968.14636,,,,,,,
2022-04-14,Coinbase,DOGE/USD,0.1363,0.1477,0.1399,0.1441,419800623.1,60493269.788710006,,,,,,,
2022-04-13,Coinbase,DOGE/USD,0.1363,0.1434,0.1381,0.14,170179368.3,23825111.562000003,,,,,,,
2022-04-12,Coinbase,DOGE/USD,0.1331,0.1445,0.1341,0.1381,473689491.2,65416518.73472,,,,,,,
2022-04-11,Coinbase,DOGE/USD,0.1329,0.1515,0.1483,0.1342,431989534.1,57972995.47622001,,,,,,,
2022-04-10,Coinbase,DOGE/USD,0.1436,0.1577,0.1443,0.1482,462203679.3,68498585.27226,,,,,,,
2022-04-09,Coinbase,DOGE/USD,0.1406,0.1447,0.1424,0.1443,88146768.7,12719578.72341,,,,,,,
2022-04-08,Coinbase,DOGE/USD,0.1405,0.1534,0.1459,0.1426,367305926.0,52377825.0476,,,,,,,
2022-04-07,Coinbase,DOGE/USD,0.1401,0.1483,0.1432,0.146,337126751.5,49220505.719,,,,,,,
2022-04-06,Coinbase,DOGE/USD,0.1412,0.1747,0.1728,0.1434,950534489.7,136306645.82298002,,,,,,,
2022-04-05,Coinbase,DOGE/USD,0.1472,0.1801,0.1485,0.1728,1313659654.3,227000388.26304,,,,,,,
2022-04-04,Coinbase,DOGE/USD,0.1413,0.1567,0.1466,0.1484,538939904.8,79978681.87232,,,,,,,
2022-04-03,Coinbase,DOGE/USD,0.1362,0.1496,0.1388,0.1465,256976640.0,37647077.76,,,,,,,
2022-04-02,Coinbase,DOGE/USD,0.1381,0.1444,0.1414,0.1388,165564720.3,22980383.17764,,,,,,,
2022-04-01,Coinbase,DOGE/USD,0.1321,0.143,0.1381,0.1414,214076362.4,30270397.64336,,,,,,,
2022-03-31,Coinbase,DOGE/USD,0.136,0.148,0.1431,0.1381,270939753.6,37416779.97216,,,,,,,
2022-03-30,Coinbase,DOGE/USD,0.1381,0.1456,0.1445,0.1432,245130198.9,35102644.48248,,,,,,,
2022-03-29,Coinbase,DOGE/USD,0.1405,0.149,0.1424,0.1444,279840780.6,40409008.71864001,,,,,,,
2022-03-28,Coinbase,DOGE/USD,0.1405,0.1537,0.1447,0.1425,573370925.2,81705356.841,,,,,,,
2022-03-27,Coinbase,DOGE/USD,0.1355,0.1457,0.1361,0.1447,416559820.5,60276206.02635,,,,,,,
2022-03-26,Coinbase,DOGE/USD,0.129,0.1372,0.131,0.1361,241451754.7,32861583.81467,,,,,,,
2022-03-25,Coinbase,DOGE/USD,0.1275,0.1378,0.1369,0.1309,340011290.4,44507477.91335999,,,,,,,
2022-03-24,Coinbase,DOGE/USD,0.1277,0.1413,0.1299,0.1368,581638240.5,79568111.3004,,,,,,,
2022-03-23,Coinbase,DOGE/USD,0.121,0.1321,0.1224,0.1299,418148075.9,54317435.05940999,,,,,,,
2022-03-22,Coinbase,DOGE/USD,0.1186,0.1257,0.1192,0.1225,208818661.5,25580286.03375,,,,,,,
2022-03-21,Coinbase,DOGE/USD,0.1177,0.1218,0.1193,0.1193,200253477.0,23890239.8061,,,,,,,
2022-03-20,Coinbase,DOGE/USD,0.1175,0.1242,0.1237,0.1193,142928241.1,17051339.16323,,,,,,,
2022-03-19,Coinbase,DOGE/USD,0.1184,0.1252,0.1192,0.1237,258601352.7,31988987.32899,,,,,,,
2022-03-18,Coinbase,DOGE/USD,0.1142,0.1196,0.1164,0.1192,161458340.9,19245834.23528,,,,,,,
2022-03-17,Coinbase,DOGE/USD,0.1159,0.1194,0.1171,0.1164,168991788.1,19670644.13484,,,,,,,
2022-03-16,Coinbase,DOGE/USD,0.1121,0.1171,0.1127,0.117,253023392.7,29603736.9459,,,,,,,
2022-03-15,Coinbase,DOGE/USD,0.1101,0.1143,0.1139,0.1126,149856503.9,16873842.33914,,,,,,,
2022-03-14,Coinbase,DOGE/USD,0.1103,0.1224,0.1115,0.1139,340330047.8,38763592.44442,,,,,,,
2022-03-13,Coinbase,DOGE/USD,0.1099,0.1164,0.1149,0.1115,175257022.9,19541158.05335,,,,,,,
2022-03-12,Coinbase,DOGE/USD,0.1146,0.1173,0.1154,0.1149,63496275.4,7295722.04346,,,,,,,
2022-03-11,Coinbase,DOGE/USD,0.1138,0.1186,0.1168,0.1154,131346505.8,15157386.76932,,,,,,,
2022-03-10,Coinbase,DOGE/USD,0.1147,0.1219,0.1216,0.1168,232382936.6,27142326.99488,,,,,,,
2022-03-09,Coinbase,DOGE/USD,0.1164,0.1244,0.1171,0.1216,200593510.3,24392170.85248,,,,,,,
2022-03-08,Coinbase,DOGE/USD,0.1152,0.12,0.1167,0.1171,197257501.1,23098853.37881,,,,,,,
2022-03-07,Coinbase,DOGE/USD,0.1133,0.1227,0.1207,0.1167,170508440.1,19898334.95967,,,,,,,
2022-03-06,Coinbase,DOGE/USD,0.1193,0.1256,0.1251,0.1207,138284084.9,16690889.04743,,,,,,,
2022-03-05,Coinbase,DOGE/USD,0.1208,0.1257,0.1226,0.1251,68049559.3,8512999.86843,,,,,,,
2022-03-04,Coinbase,DOGE/USD,0.1201,0.1302,0.1296,0.1227,210867698.0,25873466.5446,,,,,,,
2022-03-03,Coinbase,DOGE/USD,0.1272,0.1339,0.1331,0.1297,116055755.7,15052431.51429,,,,,,,
2022-12-27,Coinbase,ADA/USD,0.256,0.2664,0.2654,0.2593,,9342940.007832,36031392.24,,,,,,
